Geneid,231_N,MCF12a_S,MCF12a_N,MCF10a_S,MCF10a_N,CA1d_S,CA1d_N,CA1a_S,CA1a_N,453_S,453_N,231_S
1,139,728,642,1309,570,56,86,85,339,1863,1460,233
10,31,42,21,0,5,0,22,0,21,3,2,40
100,841,5142,3588,1984,1670,554,1182,44,1648,0,2,877
1000,26,0,143,5294,5322,0,290,78,199,2330,172,50
10000,1095,111,41,669,1640,101,569,44,517,13,36,815
100008587,0,0,0,0,0,0,0,0,0,0,0,0
100008588,0,0,0,0,0,0,0,0,0,0,0,0
100008589,0,0,0,0,0,0,0,0,0,0,0,0
100009601,2,0,0,0,0,0,0,0,0,0,0,0
100009602,4,0,4,1,18,0,0,0,0,2,7,10
100009605,293,0,48,121,237,0,17,0,31,107,193,287
100009606,15,32,0,14,8,0,5,0,0,2,8,16
100009607,4,0,0,0,28,0,18,0,0,6,7,0
100009613,0,0,0,0,0,0,0,0,0,2,5,0
100009676,515,2299,1494,1002,648,63,386,215,555,464,381,596
10001,1858,2556,2783,2784,2818,492,6295,139,2698,2643,2831,1863
10002,654,18,51,146,169,1,26,121,65,339,1186,791
10003,607,80,198,344,563,141,1530,97,203,371,273,569
100033411,183,8,130,5,6,0,0,0,0,121,62,186
100033413,0,0,18,39,62,0,0,0,33,43,46,0
100033414,0,11,22,83,63,0,20,0,24,30,61,0
100033415,0,59,2,11,24,0,0,0,0,25,49,0
100033416,1,100,30,266,331,0,49,39,102,249,236,1
100033417,0,1,1,34,23,0,0,0,0,12,21,0
100033418,0,34,5,80,115,0,44,0,2,155,59,0
100033419,0,0,9,148,102,0,38,0,29,282,41,0
100033420,0,33,5,59,47,0,0,0,0,32,36,0
100033421,0,0,12,15,30,0,0,0,0,34,18,0
100033422,0,52,11,4,10,0,0,0,0,1,17,0
100033423,0,0,0,20,17,0,0,0,0,15,23,0
100033424,0,0,6,39,43,0,4,0,2,29,27,0
100033425,0,0,29,233,154,0,10,0,43,312,113,0
100033426,2,0,7,238,175,0,49,0,18,257,121,2
100033427,0,0,0,47,32,0,0,0,8,45,34,0
100033428,0,25,7,38,27,0,0,0,0,38,43,0
100033429,0,64,0,32,31,0,0,0,13,20,34,0
100033430,0,42,27,181,244,0,31,27,15,354,111,0
100033431,0,48,27,280,226,0,53,36,35,549,183,0
100033432,0,19,25,633,312,89,136,0,147,1296,383,0
100033433,0,48,24,187,80,0,0,104,22,75,84,0
100033434,0,0,9,103,78,0,0,0,1,59,44,0
100033435,0,22,12,138,75,0,0,0,0,60,74,0
100033436,0,0,0,20,15,0,4,0,0,15,41,0
100033437,0,0,0,0,2,0,0,0,0,6,1,0
100033438,0,0,4,34,36,0,8,0,10,51,34,0
100033439,0,0,0,35,23,108,0,0,17,58,43,0
100033440,0,0,0,0,0,0,0,0,0,1,2,0
100033441,0,0,0,0,2,0,0,0,0,9,4,0
100033442,0,0,0,0,0,0,0,0,0,1,4,0
100033443,0,0,0,0,0,0,0,0,0,2,0,0
100033444,0,0,0,0,0,0,0,0,0,0,0,0
100033445,0,0,0,0,0,0,0,0,0,2,3,0
100033446,0,0,0,0,0,0,0,0,0,4,3,0
100033447,0,0,0,2,0,0,0,0,0,0,0,0
100033448,0,0,0,0,0,0,0,0,0,6,0,0
100033449,0,0,0,4,0,0,0,0,8,0,6,0
100033450,0,0,0,0,0,0,0,0,0,13,6,0
100033451,0,0,0,0,0,0,0,0,0,1,1,0
100033453,0,0,0,0,0,0,0,0,0,0,2,0
100033454,0,0,0,0,0,0,0,0,0,0,0,0
100033455,0,0,0,0,0,0,0,0,0,0,2,0
100033456,0,0,0,0,1,0,0,0,0,0,0,0
100033458,0,0,0,0,0,0,0,0,0,1,2,0
100033460,0,0,0,0,0,0,0,0,0,0,0,0
100033603,0,0,0,28,0,0,0,0,0,6,0,0
100033799,0,0,0,0,2,0,0,0,0,2,4,0
100033800,0,0,0,0,0,0,0,0,0,0,0,0
100033801,0,0,0,3,1,0,0,0,0,2,1,0
100033802,0,0,0,0,0,0,0,0,0,0,0,0
100033803,0,0,0,0,0,0,0,0,0,0,0,0
100033804,0,0,0,0,0,0,0,0,0,0,0,0
100033805,0,0,0,0,0,0,0,0,0,0,0,0
100033806,0,0,0,0,0,0,0,0,0,2,2,0
100033807,0,0,0,0,0,0,0,0,0,0,0,0
100033808,0,0,0,0,0,0,0,0,0,0,0,0
100033809,0,0,0,0,0,0,0,0,0,5,0,0
100033810,0,0,0,0,0,0,0,0,0,2,0,0
100033811,0,0,0,0,0,0,0,0,0,0,6,0
100033812,0,0,0,0,0,0,0,0,0,2,0,2
100033813,0,0,0,0,0,0,0,0,0,5,0,0
100033814,0,0,0,0,0,0,0,0,0,0,1,0
100033815,0,0,0,4,0,0,0,0,0,0,2,0
100033816,0,0,0,10,0,0,0,0,0,0,0,0
100033817,0,0,0,0,0,0,0,0,2,2,3,0
100033818,0,0,0,0,0,0,0,0,0,0,2,0
100033819,0,0,0,0,0,0,0,0,0,0,0,0
100033820,0,0,6,94,81,0,0,0,8,49,48,0
100033821,0,0,0,47,22,0,0,0,0,20,36,0
100033822,0,0,0,0,2,0,0,0,0,1,0,0
100034743,721,194,199,275,384,87,61,81,67,731,884,680
100036563,0,0,0,0,0,0,0,0,0,0,0,0
100036564,0,0,0,0,0,0,0,0,0,2,0,0
100036565,0,0,0,0,0,0,0,0,0,0,0,0
100036566,0,0,0,0,0,0,0,0,0,0,4,0
100036567,0,0,0,0,0,0,0,0,0,5,0,0
100037417,6,3,7,12,19,0,27,0,4,11,4,14
100038246,1,186,138,0,0,0,4,0,0,39,130,5
10004,64,92,39,63,43,0,66,0,86,49,43,71
100048912,0,11,10,23,0,0,0,0,0,227,105,0
100049076,1410,1047,398,532,1250,113,588,46,732,169,263,1279
100049587,3,52,34,12,2,162,64,502,31,1,4,10
100049613,14,38,17,1,2,0,0,0,0,0,0,12
100049614,389,85,87,139,562,0,19,0,37,115,226,387
100049716,887,271,289,258,221,0,39,359,46,202,60,937
10005,2107,1894,1745,2210,1767,706,639,397,1922,2118,1455,2185
10006,4236,7695,7101,4165,3838,1481,7811,975,7661,3381,3793,4353
10007,3065,2293,4840,9437,6585,2253,6645,1305,9452,3145,3306,3183
100073347,0,0,0,0,0,0,0,0,0,0,0,0
10008,2,66,123,793,1534,175,2,87,26,2,4,8
10009,5116,1792,3140,5401,5227,733,1807,837,3194,2873,2493,5127
100093630,3941,12702,6628,10470,10259,1702,14182,1798,19168,7690,2848,3832
100093631,1984,2792,2737,1891,1741,95,1041,429,987,1752,1772,1998
100093698,2,4,0,0,0,0,0,0,0,0,0,0
1001,1023,16234,15656,1344,139,3518,19799,4020,23588,786,300,1161
10010,4215,4518,4220,5551,6001,227,3837,858,2866,3633,3036,4252
100101115,0,0,0,0,0,0,0,0,0,0,0,0
100101116,0,0,0,0,0,0,0,0,0,0,0,0
100101117,0,0,0,0,0,0,0,0,0,0,0,0
100101118,0,0,0,0,0,0,0,0,0,0,0,0
100101120,0,0,0,1,0,0,0,0,0,0,0,0
100101121,0,0,0,0,0,0,0,0,0,0,0,0
100101148,457,4,32,25,108,77,43,6,46,172,172,427
100101266,78,88,7,9,17,66,0,0,0,20,58,75
100101267,14761,20932,20132,22405,22599,1916,17221,3496,10600,13839,10100,16666
100101440,135,441,255,89,123,0,92,62,163,165,226,89
100101467,3733,1201,1216,2440,2183,297,425,127,792,1581,2596,3817
100101478,17,0,0,4,7,0,5,0,3,4,1,35
100101490,840,1154,756,907,1284,84,860,124,594,1601,1174,928
100101938,1,0,0,1,0,0,0,0,0,6,0,0
10011,3390,11357,6268,7784,6316,788,8967,2433,5137,3171,2319,3642
100113378,28,0,21,30,34,0,109,0,123,22,42,38
100113379,69,42,111,58,45,0,73,0,104,69,83,105
100113380,0,0,0,0,0,0,0,0,0,0,0,0
100113381,62,0,11,50,98,35,31,0,87,79,114,59
100113382,22,148,45,63,50,0,28,0,68,36,32,42
100113384,0,0,17,0,0,0,0,0,0,0,0,0
100113386,1765,4532,3388,3557,2493,385,1945,1399,2789,2632,2587,2133
100113389,18,0,3,1,18,0,4,0,2,19,28,24
100113391,19,35,11,30,22,18,49,0,26,11,4,35
